bc9570bb-eb62-46fc-956a-ce260429e469,510,Oakland,North America,United States,70.197.17.10,37.804,"37.8044,-122.2708",-122.27,807,Verizon Wireless,-,California,2014-08-14T22:48:24
f1ddccef-0c1c-4047-9580-368de9be5d40,,,,,207.237.102.71,0,"0.0,0.0",0,,,,,2014-11-08T23:46:00
0f6d4cd8-fc02-4b31-9ce5-cd3a022ef0bd,408,San Jose,North America,United States,12.111.84.106,37.339,"37.3394,-121.895",-121.89,807,AT&T Services,-,California,2014-09-09T18:37:26
64bf499b-3649-4469-acee-4c130a9fee86,512,Austin,North America,United States,173.174.40.141,30.168,"30.1678,-97.8225",-97.823,635,Time Warner Cable,78748,Texas,2014-09-06T12:35:16
52e857f5-9511-49e0-be8e-524573041833,650,Menlo Park,North America,United States,173.252.114.117,37.459,"37.459,-122.1781",-122.18,807,Facebook,94025,California,2014-08-25T19:48:09
7216b9d9-64a6-4257-a3af-462397747f74,408,San Jose,North America,United States,12.111.84.106,37.339,"37.3394,-121.895",-121.89,807,AT&T Services,-,California,2014-09-04T22:54:39
431e8dbc-1b5e-4f87-9ed6-06e2b3b7f066,512,Austin,North America,United States,173.174.34.250,30.206,"30.2058,-97.8002",-97.8,635,Time Warner Cable,78745,Texas,2014-08-12T16:12:54
636181ba-36dc-4e25-9bec-0e31d9f6418e,408,San Jose,North America,United States,12.111.84.106,37.339,"37.3394,-121.895",-121.89,807,AT&T Services,-,California,2014-09-04T17:36:52
d5255561-7d70-4f26-938d-7d959ff638ab,630,Batavia,North America,United States,162.224.224.13,41.839,"41.8392,-88.3612",-88.361,602,AT&T U-verse,60510,Illinois,2014-08-15T22:11:55
d1abb9a3-016e-4a5c-89c2-36eb92d2172d,856,Moorestown,North America,United States,24.104.73.13,39.976,"39.9757,-74.9439",-74.944,504,Comcast Telecommunications,08057,New Jersey,2014-09-11T17:02:55
5cae2d03-a7d2-4be8-a87c-ab104e2a756f,408,San Jose,North America,United States,12.111.84.106,37.339,"37.3394,-121.895",-121.89,807,AT&T Services,-,California,2014-08-21T21:42:08
2561a553-179f-4ddc-8823-2894a693a055,770,Smyrna,North America,United States,207.11.113.30,33.863,"33.8633,-84.4984",-84.498,524,The Home Depot,30080,Georgia,2014-08-15T17:55:47
30d25427-461f-41b5-8941-266ee10b30e4,,,,,173.174.40.141,0,"0.0,0.0",0,,,,,2014-09-25T09:11:58
8ab4ec47-6577-4f1b-87d6-acfcb777cc22,770,Dallas,North America,United States,76.20.213.99,33.865,"33.8651,-84.8948",-84.895,524,Comcast Cable,30157,Georgia,2014-07-15T16:00:07
ebb72fc7-e335-451a-991a-39d68acc62ec,512,Austin,North America,United States,173.174.34.250,30.206,"30.2058,-97.8002",-97.8,635,Time Warner Cable,78745,Texas,2014-08-12T22:46:05
85cdb641-e27b-4013-9263-ae15ead9e417,510,Fremont,North America,United States,73.162.131.52,37.516,"37.5155,-121.8962",-121.9,807,Comcast Cable,94539,California,2014-09-11T07:21:27
5d05d94c-eb98-4725-9dac-8e4c3d8c2621,770,Dallas,North America,United States,76.20.212.209,33.992,"33.9922,-84.855",-84.855,524,Comcast Cable,30132,Georgia,2014-08-29T18:05:14
31c2589f-9364-4a08-a471-ea4c42ea1c05,630,Batavia,North America,United States,162.224.224.13,41.839,"41.8392,-88.3612",-88.361,602,AT&T U-verse,60510,Illinois,2014-08-29T14:14:05
81fbc800-a2be-4214-84dc-81e5e17a63f6,408,Milpitas,North America,United States,73.189.34.144,37.44,"37.4404,-121.8705",-121.87,807,Comcast Cable,95035,California,2014-08-12T03:28:02
fea213e3-b4f7-40f7-bbd5-0e129a382e2d,512,Austin,North America,United States,173.174.34.250,30.206,"30.2058,-97.8002",-97.8,635,Time Warner Cable,78745,Texas,2014-08-12T23:25:43
164ac50c-505c-4c35-9d77-f55fa6f7f192,512,Austin,North America,United States,173.174.34.250,30.206,"30.2058,-97.8002",-97.8,635,Time Warner Cable,78745,Texas,2014-08-12T23:25:55
177aa83a-b184-4ae4-a4bc-8b5e9c677a6d,512,Austin,North America,United States,173.174.34.250,30.206,"30.2058,-97.8002",-97.8,635,Time Warner Cable,78745,Texas,2014-08-13T02:26:39
b63f1219-6146-4c83-8111-ff33e32f6405,408,San Jose,North America,United States,12.111.84.106,37.339,"37.3394,-121.895",-121.89,807,AT&T Services,-,California,2014-09-05T23:36:23
85e79cfb-c10c-443e-b714-a8ba25740179,,,,,50.200.68.226,0,"0.0,0.0",0,,,,,2014-09-24T02:29:06
15f2e219-1948-495c-9a38-e6c847ccd36e,512,Austin,North America,United States,173.174.40.141,30.168,"30.1678,-97.8225",-97.823,635,Time Warner Cable,78748,Texas,2014-09-06T21:17:05
71668709-bc41-4032-9285-8246517615c1,512,Austin,North America,United States,173.174.40.141,30.168,"30.1678,-97.8225",-97.823,635,Time Warner Cable,78748,Texas,2014-09-06T13:02:56
9bd03a87-bd7e-48f2-aab9-468375dea55d,408,San Jose,North America,United States,12.111.84.106,37.339,"37.3394,-121.895",-121.89,807,AT&T Services,-,California,2014-09-09T20:24:13
d8394765-e628-4a97-90a1-d5e75ce1b959,408,San Jose,North America,United States,12.111.84.106,37.339,"37.3394,-121.895",-121.89,807,AT&T Services,-,California,2014-09-05T09:37:07
bd4a6dcf-7e72-4b72-af8a-32371b1d4c56,408,San Jose,North America,United States,12.111.84.106,37.339,"37.3394,-121.895",-121.89,807,AT&T Services,-,California,2014-09-04T17:23:36
0a9e1614-f1a8-4894-b493-e6caabcdc439,616,Grand Rapids,North America,United States,76.235.161.246,42.963,"42.9634,-85.6681",-85.668,563,AT&T Internet Services,-,Michigan,2014-08-31T01:27:59
b69fb94f-51c5-4388-92e0-8c7b107a43c9,408,San Jose,North America,United States,12.111.84.106,37.339,"37.3394,-121.895",-121.89,807,AT&T Services,-,California,2014-09-05T18:53:38
f40a5f20-1148-453b-b5d1-12d3a7ab7264,408,San Jose,North America,United States,12.111.84.106,37.339,"37.3394,-121.895",-121.89,807,AT&T Services,-,California,2014-09-04T22:13:40
fa50093b-c6d2-4d75-88ef-ab7cf19a91fc,,,,,24.98.27.182,0,"0.0,0.0",0,,,,,2014-10-13T06:05:11
f51c6682-cf76-4a17-aa1f-00f5df04b2fe,415,San Francisco,North America,United States,66.202.176.106,37.781,"37.7811,-122.4625",-122.46,807,"Regus Business Center, LLC",94118,California,2014-09-08T15:37:12
15f33f7a-a623-4689-a6b9-9d2c193cd533,330,Kensington,North America,United States,173.252.110.119,40.721,"40.7212,-80.948",-80.948,536,Facebook,44427,Ohio,2014-08-18T16:54:58
2f357849-2b11-4dba-9c70-1fe9ac8c4928,,,,,24.98.27.182,0,"0.0,0.0",0,,,,,2014-09-24T19:02:36
08866e72-3373-4b84-9821-d2c2528a6a68,408,San Jose,North America,United States,12.111.84.106,37.339,"37.3394,-121.895",-121.89,807,AT&T Services,-,California,2014-09-09T17:00:46
f6c94c6d-43f6-4665-8dcd-ad9f44824e04,408,San Jose,North America,United States,12.111.84.106,37.339,"37.3394,-121.895",-121.89,807,AT&T Services,-,California,2014-09-05T20:29:52
35c4ab3b-f03e-4d20-a83a-e03fb05516e0,856,Moorestown,North America,United States,24.104.73.13,39.976,"39.9757,-74.9439",-74.944,504,Comcast Telecommunications,08057,New Jersey,2014-09-11T00:17:51
8463f26a-4e88-4cd2-a842-b9c6f29a4a05,719,Como,North America,United States,12.69.21.253,39.316,"39.3161,-105.8928",-105.89,751,Marriott International,80432,Colorado,2014-08-15T13:53:35
c35c635c-88e5-45a6-b206-85da39d938dc,415,San Francisco,North America,United States,66.202.176.106,37.781,"37.7811,-122.4625",-122.46,807,"Regus Business Center, LLC",94118,California,2014-09-05T21:02:34
9f02e81a-9bb4-449b-a2e5-9bd45e38d3b6,212,New York,North America,United States,207.237.102.71,40.714,"40.7143,-74.006",-74.006,501,RCN,-,New York,2014-08-21T18:26:59
3b61cb6a-4d65-40c4-b0eb-c1013598e4c3,609,Princeton,North America,United States,173.252.103.2,40.376,"40.3756,-74.6597",-74.66,504,Facebook,08540,New Jersey,2014-08-18T16:55:00
